;Company name Latin alphabet;Inactive;Quoted;Branch;OwnData;Woco;Country ISO code;NACE Rev. 2, core code (4 digits);Consolidation code;Last avail. year;ISIN number;"Profit margin (%)
2021";"Profit margin (%)
2020";"Profit margin (%)
2019";"Profit margin (%)
2018";"Profit margin (%)
2017";"Profit margin (%)
2016";"P/L before tax
th USD 2021";"P/L before tax
th USD 2020";"P/L before tax
th USD 2019";"P/L before tax
th USD 2018";"P/L before tax
th USD 2017";P/L before tax th USD 2016;"Solvency ratio (Asset based) (%)
2021";"Solvency ratio (Asset based) (%)
2020";"Solvency ratio (Asset based) (%)
2019";"Solvency ratio (Asset based) (%)
2018";"Solvency ratio (Asset based) (%)
2017";"Solvency ratio (Asset based) (%)
2016";"Current ratio
2021";"Current ratio
2020";"Current ratio
2019";"Current ratio
2018";"Current ratio
2017";"Current ratio
2016";"Number of employees
2021";"Number of employees
2020";"Number of employees
2019";"Number of employees
2018";"Number of employees
2017";"Number of employees
2016"
1.;JBS S.A.;No;Yes;No;No;Yes;BR;1013;C1;2020;BRJBSSACNOR8;3,05;3,66;-0,60;0,70;0,26;4,84;1.590.461;1.860.450;-283.506;348.236;133.921;2.017.691;26,58;25,71;24,48;24,05;24,23;24,07;1,48;1,47;1,71;1,24;1,02;1,25;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
2.;TYSON FOODS INC.;No;Yes;No;No;Yes;US;1012;C1;2021;US9024941034;8,59;6,17;5,60;6,70;6,87;7,04;4.041.000;2.664.000;2.374.000;2.682.000;2.628.000;2.598.000;48,81;44,27;42,38;43,98;37,56;42,95;1,55;1,80;1,27;1,13;1,55;1,77;137.000;139.000;141.000;121.000;122.000;114.000
3.;DANONE;No;Yes;No;No;Yes;FR;1051;C1;2020;FR0000120644;10,53;11,33;9,68;13,15;11,94;8,59;3.053.023;3.220.787;2.739.986;3.948.094;2.772.282;2.095.747;38,10;38,31;37,29;32,83;30,02;38,73;1,03;0,90;1,04;0,92;2,11;0,87;101.911;102.449;105.783;104.843;99.187;99.771
4.;MONDELEZ INTERNATIONAL, INC.;No;Yes;No;No;Yes;US;1051;C1;2020;US6092071058;12,73;13,33;10,96;12,06;5,61;26,60;3.383.000;3.447.000;2.842.000;3.124.000;1.454.000;7.884.000;40,67;42,22;40,87;41,29;40,89;44,58;0,66;0,50;0,45;0,48;0,59;0,82;79.000;80.000;80.000;83.000;90.000;99.000
5.;WH GROUP LIMITED;No;Yes;No;No;No;KY;4632;C1;2020;KYG960071028;5,13;8,50;6,22;6,68;7,87;6,11;1.315.000;2.052.000;1.411.000;1.501.000;1.703.000;1.302.000;58,70;54,69;55,03;53,89;51,71;46,87;1,93;1,73;1,64;1,62;1,46;1,82;107;101.000;112;110;104;105
6.;INNER MONGOLIA YILI INDUSTRIAL GROUP CO.,LTD.;No;Yes;No;No;Yes;CN;1051;C1;2020;CNE000000JP5;8,40;9,08;9,50;10,35;11,02;9,19;1.247.127;1.172.764;1.105.739;1.086.365;954.282;850.887;42,91;43,46;58,89;51,20;59,18;50,83;0,82;0,82;1,28;1,25;1,36;1,09;27.418;59.052;56.079;53.531;54.983;57.971
7.;PILGRIM'S PRIDE CORPORATION;No;Yes;No;No;No;US;1012;C1;2020;US72147K1088;1,34;5,41;3,04;9,12;7,33;12,14;161.825;617.545;332.227;982.066;724.036;992.758;34,30;35,56;33,89;29,55;41,38;37,94;1,50;1,58;1,72;1,73;1,53;2,06;56.400;58.500;52.100;51.300;39.600;39.000
8.;CHINA MENGNIU DAIRY COMPANY LIMITED;No;Yes;No;No;Yes;KY;1051;C1;2020;KYG210961051;5,41;7,04;5,53;4,34;-0,85;6,12;635.784;802.268;562.195;403.121;-66.388;466.790;46,47;42,46;45,84;46,63;51,92;52,55;1,21;1,18;1,18;1,15;1,30;1,40;40.626;37.894;41.031;41.141;41.613;39.683
9.;WENS FOODSTUFF GROUP CO., LTD.;No;Yes;No;No;Yes;CN;4632;C1;2020;CNE100002508;10,62;20,20;7,48;12,74;20,85;13,87;1.219.844;2.115.419;625.088;1.089.163;1.779.744;1.030.468;59,12;71,10;65,94;68,05;75,73;70,35;1,37;1,88;1,64;1,63;1,88;1,66;52.809;50.024;48.639;50.574;49.314;44.039
10.;HORMEL FOODS CORP;No;Yes;No;No;No;US;1011;C1;2021;US4404521001;9,89;11,60;12,74;12,38;13,95;13,83;1.126.170;1.114.747;1.209.715;1.181.284;1.278.645;1.317.215;54,92;64,85;73,02;68,79;70,76;69,83;2,08;2,38;2,14;1,80;1,92;1,93;20.000;19.100;18.800;20.100;20.200;21.100
11.;SAPUTO INC;No;Yes;No;No;Yes;CA;1051;C1;2020;CA8029121057;5,90;5,35;7,30;8,23;9,32;7,92;670.696;563.403;737.559;736.699;781.593;671.421;49,11;47,55;54,83;59,95;56,91;56,74;1,84;1,63;1,62;1,87;2,00;1,60;17.300;17.200;16.800;15.000;n.a.;12.500
